datetime,picture_file,latitude,longitude,elevation,temp_cpu,temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2022-04-26 08:11:03.312399,BLACKOUT,2.116582623548093,-102.05730780547199,414782.310944168,45.28,39.98,38.42,50.02,1010.98,296.69,227.18,295.81,10.415,-6.2046,2.0359,0.01708,-0.007076,-0.007808,0.001676,0.002064,-0.000903
2022-04-26 08:11:18.312405,BLACKOUT,2.818594435273023,-101.56182554055823,414672.56137091067,49.66,39.93,38.42,49.25,1010.97,299.19,225.73,297.25,16.692,-9.7648,2.8616,0.019032,-0.005612,-0.007076,0.002236,-0.000909,-5.5e-05
2022-04-26 08:11:33.312405,BLACKOUT,3.5828979867993396,-101.02139716006985,414560.16235222114,48.69,39.98,38.41,49.05,1010.97,298.24,228.73,295.05,17.2594,-9.8324,4.5296,0.017324,-0.00732,-0.008052,0.001435,-0.000939,0.001381
2022-04-26 08:11:48.312412,BLACKOUT,4.347679910931612,-100.47933640779634,414455.0961350672,49.66,39.89,38.4,48.94,1010.97,299.22,225.15,295.95,17.2013,-9.434,4.5766,0.017324,-0.00732,-0.007076,-0.000941,0.000568,0.001575
2022-04-26 08:12:03.312419,BLACKOUT,5.112003850685444,-99.9360256047856,414357.4936988859,50.63,39.8,38.41,49.22,1010.94,300.04,224.94,296.88,17.4551,-9.321,4.844,0.019276,-0.005612,-0.008052,2.1e-05,-0.000927,-0.001194
2022-04-26 08:12:18.312425,BLACKOUT,5.874833368031417,-99.39192387147176,414267.4568499451,51.12,40.07,38.44,49.1,1010.99,300.71,219.59,301.81,17.2244,-9.4362,6.235,0.016104,-0.007808,-0.009516,-0.000513,-0.000327,0.000337
2022-04-26 08:12:33.312427,BLACKOUT,6.637926735269601,-98.84549418002455,414184.75379411294,49.66,39.93,38.45,48.94,1010.96,300.85,217.7,304.17,17.3,-9.3574,6.8847,0.017324,-0.007808,-0.009516,-0.002288,0.000429,-0.0015
2022-04-26 08:12:48.312427,BLACKOUT,7.399749755447785,-98.29754821330089,414109.52566619107,51.12,40.13,38.46,48.94,1010.95,301.22,216.91,305.64,17.3064,-9.4007,7.9908,0.016348,-0.005612,-0.008784,0.000253,8.9e-05,-0.001147
2022-04-26 08:13:03.312431,BLACKOUT,8.160883334884366,-97.74738181199757,414041.67213521205,51.61,40.14,38.49,49.43,1010.97,301.11,213.44,307.02,17.1833,-9.3691,7.7569,0.016104,-0.006588,-0.008296,0.002123,0.000682,0.000433
2022-04-26 08:13:18.312437,BLACKOUT,8.921280758343517,-97.19473548797244,413981.15814393666,51.61,40.23,38.53,49.29,1010.96,300.98,216.06,306.37,17.0761,-9.635,8.4299,0.016836,-0.00732,-0.005856,-0.001269,0.00092,0.000152
2022-04-26 08:13:33.312445,BLACKOUT,9.680486256672584,-96.6396454358921,413927.9696687454,52.09,40.11,38.55,48.98,1010.97,298.65,215.64,306.34,17.2448,-9.9736,8.8556,0.016104,-0.007564,-0.006832,0.000596,-0.001049,0.000505
2022-04-26 08:13:48.312448,BLACKOUT,10.43840185650533,-96.08188690421424,413882.0516549027,52.58,40.16,38.59,49.1,1010.97,298.24,215.35,306.95,17.0982,-9.707,9.9975,0.016104,-0.004636,-0.006588,-0.000237,0.000748,-0.000352
2022-04-26 08:14:03.312454,BLACKOUT,11.195183796188266,-95.52104275970511,413843.3299733797,52.09,40.27,38.63,49.26,1010.97,299.26,215.84,305.79,17.0109,-9.2042,11.0418,0.018544,-0.004636,-0.007564,-0.00026,0.001064,0.001341
2022-04-26 08:14:18.312461,BLACKOUT,11.95086715936499,-94.956777159489,413811.73739133845,51.61,40.31,38.67,48.99,1010.97,298.76,214.83,306.93,16.7355,-9.4848,12.0573,0.015616,-0.0061,-0.005612,-0.000791,1.2e-05,-0.001057
2022-04-26 08:14:33.312468,BLACKOUT,12.704942335430625,-94.38915804436682,413787.21978662536,53.07,40.32,38.72,49.22,1010.95,300.4,213.76,308.86,16.5354,-9.8175,11.8723,0.018056,-0.005856,-0.007076,0.00053,0.000615,-9.7e-05
2022-04-26 08:14:48.312472,BLACKOUT,13.45744807649703,-93.8178408556817,413769.6907754572,53.07,40.34,38.76,49.01,1010.95,301.75,214.22,309.11,16.954,-9.4604,12.9279,0.019764,-0.006344,-0.00854,0.000393,0.00091,-0.000123
2022-04-26 08:15:03.312476,BLACKOUT,14.2082514309639,-93.24260465370894,413759.0641060386,53.56,40.4,38.81,47.52,1010.98,300.77,213.19,309.5,16.3323,-10.1668,12.7202,0.016592,-0.006344,-0.007808,-0.001863,-0.000278,-2.7e-05
2022-04-26 08:15:18.312482,BLACKOUT,14.957402712542956,-92.66308168034445,413755.245814726,54.04,40.4,38.85,49.58,1010.97,299.78,214.62,307.54,16.7386,-10.0135,14.4212,0.016348,-0.006832,-0.009516,-0.002685,-0.000292,-0.000225
2022-04-26 08:15:33.312483,BLACKOUT,15.705065177420861,-92.0788048845308,413758.1420771837,54.04,40.38,38.89,49.12,1010.95,301.91,216.75,306.55,16.2538,-9.8058,14.2697,0.016592,-0.00732,-0.008052,0.000646,0.001134,-0.000407
2022-04-26 08:15:48.312484,BLACKOUT,16.450605705442623,-91.48992405145717,413767.6486910692,54.53,40.59,38.93,49.41,1010.96,301.53,216.51,308.58,16.1475,-9.9896,14.5703,0.018056,-0.006344,-0.008296,-0.00055,0.001457,-0.001167
2022-04-26 08:16:03.312487,BLACKOUT,17.193565149503414,-90.89646088022563,413783.6414247863,55.99,40.68,38.99,48.98,1010.95,302.65,218.11,308.22,15.8444,-9.5289,15.2828,0.01586,-0.007076,-0.008784,-0.004184,-2.3e-05,0.001309
2022-04-26 08:16:18.312490,BLACKOUT,17.934986115249874,-90.29722318038927,413806.03013601626,55.02,40.66,39.03,49.03,1010.96,301.75,221.92,305.71,15.6603,-9.7663,16.7503,0.016592,-0.006832,-0.009028,-0.000722,0.000517,0.000326
2022-04-26 08:16:33.312490,BLACKOUT,18.673252663950027,-89.69315484551426,413834.6444065586,55.5,40.68,39.09,49.16,1010.96,300.78,221.71,305.38,15.8458,-10.1401,16.2972,0.018544,-0.005612,-0.00732,-0.000818,-0.000743,-0.000223
2022-04-26 08:16:48.312494,BLACKOUT,19.40983198485488,-89.08268296651553,413869.4160862935,55.5,40.75,39.15,49.12,1010.98,299.96,221.01,306.71,15.7004,-9.97,16.909,0.01586,-0.005856,-0.00732,-0.002898,-0.001886,-0.000781
2022-04-26 08:17:03.312498,BLACKOUT,20.143923633142272,-88.4660748492029,413910.18961362535,55.99,40.79,39.19,48.89,1010.98,300.76,222.7,304.84,15.4203,-10.3524,17.3675,0.01464,-0.006344,-0.007564,-0.002189,-1.8e-05,0.000723
